Player,Position,Height,Weight,NationalRank,PositionRank,StateRank,HighSchool,City,State,CommittedTo
Jayvon McFadden,IOL,,,391,24,11,Riverdale Baptist,Upper Marlboro,MD,Ohio State
JD LaFleur,TE,6-6,220,391,23,14,Sulphur,Sulphur,LA,LSU
Courtland Guillory,CB,6-0,175,391,39,52,Klein Oak,Spring,TX,Oklahoma
Logan Powell,IOL,6-4,280,391,24,4,Brophy College Preparatory,Phoenix,AZ,Wisconsin
Owen Aliciene,OT,6-7,275,395,30,3,Avon Old Farms,Avon,CT,Penn State
Jai'mier Scott,ATH,6-1,177,396,21,17,Mt. Healthy,Cincinnati,OH,Wisconsin
Daniel Jennings,EDGE,6-2,220,397,36,1,Princeton,Princeton,WV,Penn State
Kelvion Riggins,LB,5-11.5,205,398,42,53,Forney,Forney,TX,Texas A&M
Brendon Haygood,RB,5-9,180,399,27,54,Sachse,Sachse,TX,Missouri
Phillip Wright III,WR,5-11,175,400,56,15,Destrehan,Destrehan,LA,LSU
Austin Howard,LB,6-1.5,226,401,43,11,Bartlett,Bartlett,TN,Vanderbilt
Demetris Dean II,OT,6-4,280,402,31,55,Jasper,Jasper,TX,Houston
Keon Young,S,6-0,171,403,36,55,Lakeland,Lakeland,FL,Ole Miss
Amari Wallace,S,5-10,172,404,37,56,Miami Central,Miami,FL,Miami
Keylan Moses,LB,6-2,210,404,44,16,University Lab,Baton Rouge,LA,LSU
Tre Poteat,CB,6-0,175,404,40,3,Verona Area,Verona,WI,Tennessee
